# Provided by Giancarlo Cusumano, 2017-06-06, as "slow_shaper_hg_single_ns.dat".
# Second column duplicated to assume identical shape for HG and LG.
# Peak is approximately at T=30.6 ns, FWHM about 40.7 ns.
# Together with astri_fast_shaper_ns-v4.dat for the trigger channel
# (peak at T=15 ns), the peak sensing should start about 10-15 ns AFTER
# the trigger (negative FADC_SUM_OFFSET!).
#
#  Time (ns)                 V(Slow-Shaper_LG:OUT)
   -0.000000001  0                      0                    # Start and finish with zero
    0.000000006  4.769891553675e-015    4.769891553675e-015 
    0.010000005  4.768064080092e-015    4.768064080092e-015 
    0.025780102  4.800906088556e-015    4.800906088556e-015 
    0.057340296  9.770126548070e-012    9.770126548070e-012 
    0.062672760  1.394125093146e-011    1.394125093146e-011 
    0.065560224  1.725001391728e-011    1.725001391728e-011 
    0.071335151  2.782042131388e-011    2.782042131388e-011 
    0.082885006  8.002812301733e-011    8.002812301733e-011 
    0.100000006  2.822272415770e-010    2.822272415770e-010 
    0.101758168  3.143538762629e-010    3.143538762629e-010 
    0.105274639  3.881191756872e-010    3.881191756872e-010 
    0.112307579  5.553585924467e-010    5.553585924467e-010 
    0.126373461  1.014943906696e-009    1.014943906696e-009 
    0.154505223  2.483272476539e-009    2.483272476539e-009 
    0.210768748  7.817182456904e-009    7.817182456904e-009 
    0.283912495  1.979549679731e-008    1.979549679731e-008 
    0.399384853  5.078927856061e-008    5.078927856061e-008 
    0.517918933  9.855924787416e-008    9.855924787416e-008 
    0.754987095  2.445717939281e-007    2.445717939281e-007 
    0.900000006  3.683210536565e-007    3.683210536565e-007 
    0.910000005  3.779123005643e-007    3.779123005643e-007 
    0.930000158  3.976180948939e-007    3.976180948939e-007 
    0.935000196  4.025608859592e-007    4.025608859592e-007 
    0.945000272  4.125446366743e-007    4.125446366743e-007 
    0.965000424  4.329050398155e-007    4.329050398155e-007 
    1.000000006  4.697959070654e-007    4.697959070654e-007 
    1.004000036  4.741247892071e-007    4.741247892071e-007 
    1.012000679  4.828669943890e-007    4.828669943890e-007 
    1.028001965  5.005192633689e-007    5.005192633689e-007 
    1.060004537  5.368303845898e-007    5.368303845898e-007 
    1.124009681  6.134792442936e-007    6.134792442936e-007 
    1.252019969  7.828729735593e-007    7.828729735593e-007 
    1.508040545  1.185830910799e-006    1.185830910799e-006 
    2.020081697  2.244104734928e-006    2.244104734928e-006 
    3.020135877  5.241026428848e-006    5.241026428848e-006 
    4.020190058  9.373794455314e-006    9.373794455314e-006 
    5.020244238  1.449737919756e-005    1.449737919756e-005 
    6.020298419  2.045313885901e-005    2.045313885901e-005 
    7.020352600  2.708135980356e-005    2.708135980356e-005 
    8.020406780  3.422794543440e-005    3.422794543440e-005 
    9.020460961  4.174805872026e-005    4.174805872026e-005 
   10.020515141  4.950806032866e-005    4.950806032866e-005 
   11.020569322  5.738644540543e-005    5.738644540543e-005 
   12.020623503  6.527414370794e-005    6.527414370794e-005 
   13.020677683  7.307440682780e-005    7.307440682780e-005 
   14.020731864  8.070244075498e-005    8.070244075498e-005 
   15.020786045  8.808484562906e-005    8.808484562906e-005 
   16.020840225  9.515891724732e-005    9.515891724732e-005 
   17.020894406  1.018719704007e-004    1.018719704007e-004 
   18.020948586  1.081805166905e-004    1.081805166905e-004 
   19.021002767  1.140495296568e-004    1.140495296568e-004 
   20.021056948  1.194516662508e-004    1.194516662508e-004 
   21.021111128  1.243665610673e-004    1.243665610673e-004 
   22.021165309  1.287800696446e-004    1.287800696446e-004 
   23.021219490  1.326836645603e-004    1.326836645603e-004 
   24.021273670  1.360737514915e-004    1.360737514915e-004 
   25.021327851  1.389511162415e-004    1.389511162415e-004 
   25.100000006  1.391557889292e-004    1.391557889292e-004 
   25.110000005  1.391815603711e-004    1.391815603711e-004 
   25.130000158  1.392328849761e-004    1.392328849761e-004 
   25.170000462  1.393351267325e-004    1.393351267325e-004 
   25.200000006  1.394112769049e-004    1.394112769049e-004 
   25.208000067  1.394314895151e-004    1.394314895151e-004 
   25.224001353  1.394717983203e-004    1.394717983203e-004 
   25.256003925  1.395521394443e-004    1.395521394443e-004 
   25.320009069  1.397112646373e-004    1.397112646373e-004 
   25.448019357  1.400232868036e-004    1.400232868036e-004 
   25.704039932  1.406224910170e-004    1.406224910170e-004 
   26.216081084  1.417221210431e-004    1.417221210431e-004 
   27.216135265  1.434948353563e-004    1.434948353563e-004 
   28.216189445  1.447806571377e-004    1.447806571377e-004 
   29.216243626  1.455932942918e-004    1.455932942918e-004 
   30.216297806  1.459484046791e-004    1.459484046791e-004 
   31.216351987  1.458633632865e-004    1.458633632865e-004 
   32.216406168  1.453568111174e-004    1.453568111174e-004 
   33.216460348  1.444485242246e-004    1.444485242246e-004 
   34.216514529  1.431590353604e-004    1.431590353604e-004 
   35.216568710  1.415094884578e-004    1.415094884578e-004 
   36.216622890  1.395214057993e-004    1.395214057993e-004 
   37.216677071  1.372165424982e-004    1.372165424982e-004 
   38.216731251  1.346166682197e-004    1.346166682197e-004 
   39.216785432  1.317434944212e-004    1.317434944212e-004 
   40.216839613  1.286185142817e-004    1.286185142817e-004 
   41.216893793  1.252629299415e-004    1.252629299415e-004 
   42.216947974  1.216974997078e-004    1.216974997078e-004 
   43.217002155  1.179425526061e-004    1.179425526061e-004 
   44.217056335  1.140178428614e-004    1.140178428614e-004 
   45.217110516  1.099425353459e-004    1.099425353459e-004 
   46.217164696  1.057351546478e-004    1.057351546478e-004 
   47.217218877  1.014135414152e-004    1.014135414152e-004 
   48.217273058  9.699483052827e-005    9.699483052827e-005 
