# Derived from astri_slow_shaper_50ns.dat, with explicit time column.

 -0.5 0.   0.
    0 0.00031803      0.00031803
  0.5 0.00137891      0.00137891
    1 0.00341707      0.00341707
  1.5 0.00637910      0.00637910
    2 0.01029135      0.01029135
  2.5 0.01514263      0.01514263
    3 0.02091273      0.02091273
  3.5 0.02757493      0.02757493
    4 0.03509781      0.03509781
  4.5 0.04344659      0.04344659
    5 0.05258413      0.05258413
  5.5 0.06247171      0.06247171
    6 0.07306959      0.07306959
  6.5 0.08433749      0.08433749
    7 0.09623490      0.09623490
  7.5 0.10872145      0.10872145
    8 0.12175703      0.12175703
  8.5 0.13530207      0.13530207
    9 0.14931761      0.14931761
  9.5 0.16376546      0.16376546
   10 0.17860833      0.17860833
 10.5 0.19380984      0.19380984
   11 0.20933454      0.20933454
 11.5 0.22514807      0.22514807
   12 0.24121715      0.24121715
 12.5 0.25750962      0.25750962
   13 0.27399427      0.27399427
 13.5 0.29064116      0.29064116
   14 0.30742142      0.30742142
 14.5 0.32430732      0.32430732
   15 0.34127215      0.34127215
 15.5 0.35829037      0.35829037
   16 0.37533745      0.37533745
 16.5 0.39239004      0.39239004
   17 0.40942571      0.40942571
 17.5 0.42642304      0.42642304
   18 0.44336176      0.44336176
 18.5 0.46022242      0.46022242
   19 0.47698674      0.47698674
 19.5 0.49363697      0.49363697
   20 0.51015669      0.51015669
 20.5 0.52653009      0.52653009
   21 0.54274237      0.54274237
 21.5 0.55877930      0.55877930
   22 0.57462782      0.57462782
 22.5 0.59027547      0.59027547
   23 0.60571039      0.60571039
 23.5 0.62092155      0.62092155
   24 0.63589871      0.63589871
 24.5 0.65063220      0.65063220
   25 0.66511321      0.66511321
 25.5 0.67933321      0.67933321
   26 0.69328445      0.69328445
 26.5 0.70695984      0.70695984
   27 0.72035289      0.72035289
 27.5 0.73345727      0.73345727
   28 0.74626768      0.74626768
 28.5 0.75877893      0.75877893
   29 0.77098656      0.77098656
 29.5 0.78288645      0.78288645
   30 0.79447484      0.79447484
 30.5 0.80574858      0.80574858
   31 0.81670499      0.81670499
 31.5 0.82734138      0.82734138
   32 0.83765590      0.83765590
 32.5 0.84764665      0.84764665
   33 0.85731244      0.85731244
 33.5 0.86665201      0.86665201
   34 0.87566483      0.87566483
 34.5 0.88435054      0.88435054
   35 0.89270872      0.89270872
 35.5 0.90073973      0.90073973
   36 0.90844405      0.90844405
 36.5 0.91582203      0.91582203
   37 0.92287475      0.92287475
 37.5 0.92960316      0.92960316
   38 0.93600869      0.93600869
 38.5 0.94209284      0.94209284
   39 0.94785726      0.94785726
 39.5 0.95330387      0.95330387
   40 0.95843464      0.95843464
 40.5 0.96325201      0.96325201
   41 0.96775800      0.96775800
 41.5 0.97195548      0.97195548
   42 0.97584695      0.97584695
 42.5 0.97943515      0.97943515
   43 0.98272306      0.98272306
 43.5 0.98571366      0.98571366
   44 0.98841017      0.98841017
 44.5 0.99081558      0.99081558
   45 0.99293351      0.99293351
 45.5 0.99476701      0.99476701
   46 0.99631995      0.99631995
 46.5 0.99759561      0.99759561
   47 0.99859780      0.99859780
 47.5 0.99933004      0.99933004
   48 0.99979615      0.99979615
 48.5 1.00000000      1.00000000
   49 0.99994540      0.99994540
 49.5 0.99966407      0.99966407
   50 0.99949104      0.99949104
 50.5 0.99920547      0.99920547
   51 0.99845767      0.99845767
 51.5 0.99745888      0.99745888
   52 0.99622041      0.99622041
 52.5 0.99474645      0.99474645
   53 0.99304116      0.99304116
 53.5 0.99110854      0.99110854
   54 0.98895264      0.98895264
 54.5 0.98657763      0.98657763
   55 0.98398757      0.98398757
 55.5 0.98118663      0.98118663
   56 0.97817892      0.97817892
 56.5 0.97496855      0.97496855
   57 0.97155946      0.97155946
 57.5 0.96795595      0.96795595
   58 0.96416199      0.96416199
 58.5 0.96018189      0.96018189
   59 0.95601952      0.95601952
 59.5 0.95167881      0.95167881
   60 0.94716406      0.94716406
 60.5 0.94247925      0.94247925
   61 0.93762809      0.93762809
 61.5 0.93261498      0.93261498
   62 0.92744362      0.92744362
 62.5 0.92211783      0.92211783
   63 0.91664177      0.91664177
 63.5 0.91101915      0.91101915
   64 0.90525395      0.90525395
 64.5 0.89934969      0.89934969
   65 0.89331049      0.89331049
 65.5 0.88713986      0.88713986
   66 0.88084173      0.88084173
 66.5 0.87441951      0.87441951
   67 0.86787701      0.86787701
 67.5 0.86121798      0.86121798
   68 0.85444570      0.85444570
 68.5 0.84756386      0.84756386
   69 0.84057581      0.84057581
 69.5 0.83348531      0.83348531
   70 0.82629544      0.82629544
 70.5 0.81900972      0.81900972
   71 0.81163162      0.81163162
 71.5 0.80416429      0.80416429
   72 0.79661101      0.79661101
 72.5 0.78897488      0.78897488
   73 0.78125930      0.78125930
 73.5 0.77346730      0.77346730
   74 0.76560193      0.76560193
 74.5 0.75766635      0.75766635
   75 0.74966341      0.74966341
 75.5 0.74159616      0.74159616
   76 0.73346758      0.73346758
 76.5 0.72528046      0.72528046
   77 0.71703780      0.71703780
 77.5 0.70874214      0.70874214
   78 0.70039636      0.70039636
 78.5 0.69200325      0.69200325
   79 0.68356526      0.68356526
 79.5 0.67508525      0.67508525
   80 0.66656572      0.66656572
