#@RPOL@[ANGLE=] 2
# Note: first line starting with "#@RPOL@" is required for automatic 
# 1-D/2-D interpolation and table format switching (default is 1-D).
# The string in brackets identifies how the row with angle values, y,
# (in degrees) has to start, wavelengths being the leading x column.
#
# Angle-dependent reflectivity for ASTRI mirrors.
# Contributed by Giorgia Sironi, 2018-01-17.
#
# Wavelenght[]  0deg    10deg   20deg   30deg   40deg   50deg   60deg   70deg   80deg
#
ANGLE=     0              10              20              30              40              50              60              70              80
#
# x[i]  z[0][i]         z[1][i]         .... 
#
253     0.7419455       0.7497335       0.7765789       0.8222415       0.8707529       0.9074313       0.9319526       0.9509982       0.9723012
254     0.7490169       0.7575119       0.78537         0.8301822       0.8761681       0.9105232       0.9334991       0.9515563       0.9723324
255     0.7567717       0.76579         0.7941922       0.8377989       0.8812709       0.9134341       0.9349556       0.9520677       0.9723366
256     0.7649912       0.7743586       0.8028968       0.8450386       0.886053        0.9161622       0.9363208       0.9525325       0.9723141
257     0.7735467       0.7831091       0.811444        0.8519346       0.8905604       0.9187371       0.9376101       0.9529572       0.9722662
258     0.7822853       0.7919073       0.8197621       0.8584809       0.8948065       0.921169        0.9388296       0.9533458       0.9721951
259     0.7914865       0.8010408       0.8281528       0.8649584       0.8990082       0.9236123       0.9400901       0.9537753       0.9721419
260     0.8007673       0.8101524       0.836337        0.8711798       0.9030403       0.9259787       0.9413275       0.9542013       0.9720829
261     0.8098071       0.8189498       0.8440968       0.8770047       0.9068098       0.9282018       0.9424939       0.9545923       0.9720021
262     0.8185695       0.8274148       0.8514524       0.8824709       0.910345        0.9302958       0.9435939       0.9549467       0.9718957
263     0.8270135       0.8355223       0.858411        0.8876029       0.913667        0.9322741       0.9446362       0.955271        0.9717672
264     0.8350074       0.8431585       0.864898        0.8923555       0.916742        0.9341079       0.9455957       0.9555447       0.9716038
265     0.8422664       0.8500625       0.8707075       0.8965751       0.919452        0.935702        0.9463939       0.9557055       0.9713671
266     0.8491412       0.8565773       0.8761514       0.9005158       0.9219882       0.9372006       0.9471433       0.9558401       0.9711091
267     0.8556517       0.8627286       0.8812634       0.904208        0.9243703       0.9386134       0.9478474       0.955948        0.9708272
268     0.8617893       0.8685132       0.8860494       0.9076592       0.9266019       0.9399406       0.9485044       0.9560269       0.9705191
269     0.8675934       0.873973        0.8905516       0.9109048       0.9287081       0.9411993       0.9491267       0.9560856       0.9701896
270     0.8731576       0.8791997       0.8948544       0.9140134       0.9307404       0.9424282       0.9497445       0.956148        0.9698527
271     0.8784605       0.8841764       0.8989487       0.9169807       0.9326964       0.9436267       0.95036         0.9562201       0.9695159
272     0.8834529       0.8888573       0.9027952       0.9197725       0.9345446       0.9447647       0.950944        0.9562738       0.9691574
273     0.8881483       0.8932566       0.9064079       0.9223988       0.9362903       0.9458443       0.9514966       0.9563085       0.968776
274     0.8925624       0.8973902       0.9098015       0.9248705       0.9379401       0.9468687       0.9520195       0.9563248       0.9683712
275     0.8967127       0.9012756       0.9129917       0.9271992       0.9395009       0.9478422       0.952515        0.9563246       0.9679438
276     0.9005533       0.9048693       0.9159409       0.9293535       0.9409466       0.9487425       0.9529647       0.9562938       0.9674859
277     0.9041281       0.9082134       0.918685        0.9313598       0.9422946       0.9495804       0.9533744       0.9562341       0.9669956
278     0.9074926       0.9113608       0.9212697       0.9332542       0.9435723       0.9503772       0.9537617       0.95616         0.9664813
279     0.91066         0.9143241       0.9237052       0.9350436       0.9447835       0.9511345       0.9541269       0.9560712       0.9659418
280     0.9136425       0.9171148       0.9260011       0.9367345       0.945932        0.9518542       0.9544706       0.9559677       0.965376
281     0.916446        0.9197391       0.9281634       0.9383324       0.9470224       0.9525412       0.9547992       0.9558592       0.9647963
282     0.9191101       0.9222338       0.9302227       0.9398599       0.9480706       0.953206        0.9551191       0.9557474       0.9641978
283     0.9216927       0.9246547       0.9322277       0.9413572       0.9491095       0.9538767       0.9554556       0.9556554       0.9635966
284     0.9241283       0.9269385       0.9341219       0.9427754       0.9500968       0.9545155       0.9557738       0.9555514       0.9629693
285     0.9264266       0.9290944       0.9359124       0.9441193       0.9510353       0.9551241       0.9560744       0.9554357       0.9623153
286     0.9285597       0.9310955       0.9375748       0.9453677       0.9519066       0.9556862       0.9563432       0.955297        0.9616288
287     0.9305753       0.932987        0.9391482       0.946552        0.9527354       0.9562214       0.956596        0.9551473       0.9609143
288     0.9324811       0.9347762       0.9406386       0.9476764       0.9535241       0.9567312       0.9568337       0.9549872       0.9601714
289     0.9342241       0.936412        0.9419992       0.9486994       0.9542363       0.957182        0.9570242       0.9547861       0.959377
290     0.935845        0.9379329       0.9432638       0.9496492       0.9548948       0.9575933       0.9571846       0.9545594       0.9585409
291     0.9373815       0.9393756       0.9444658       0.9505549       0.9555253       0.9579891       0.9573398       0.9543354       0.9576934
292     0.9388355       0.9407412       0.9456045       0.9514138       0.9561236       0.9583632       0.9574808       0.9541003       0.9568137
293     0.9402053       0.942028        0.9466778       0.9522235       0.9566866       0.9587124       0.957604        0.9538505       0.9558979
294     0.9415064       0.9432505       0.9476985       0.9529945       0.957223        0.9590441       0.9577165       0.9535926       0.9549503
295     0.9427429       0.9444127       0.9486697       0.953729        0.9577343       0.959359        0.9578185       0.9533267       0.9539701
296     0.9439237       0.9455232       0.9495989       0.9544333       0.958226        0.9596627       0.9579159       0.9530601       0.9529647
297     0.9450507       0.9465833       0.950487        0.9551075       0.9586971       0.9599531       0.9580056       0.9527881       0.951927
298     0.946123        0.9475923       0.9513329       0.9557502       0.9591461       0.9602284       0.9580856       0.952509        0.9508552
299     0.9471464       0.9485556       0.9521412       0.9563649       0.9595758       0.960491        0.9581579       0.9522244       0.9497498
300     0.9481289       0.9494807       0.9529185       0.9569573       0.9599907       0.9607447       0.9582262       0.951938        0.9486122
301     0.9490686       0.9503663       0.9536641       0.9575274       0.9603917       0.9609917       0.9582948       0.9516605       0.9474695
302     0.9499648       0.9512109       0.9543756       0.9580716       0.9607743       0.9612258       0.9583551       0.9513773       0.9462929
303     0.9508279       0.9520249       0.9550622       0.958598        0.9611452       0.9614533       0.958413        0.9510945       0.9450867
304     0.9516569       0.9528069       0.9557225       0.959105        0.9615029       0.9616724       0.9584667       0.9508103       0.9438492
305     0.9524482       0.9535535       0.9563532       0.9595892       0.961844        0.9618797       0.9585126       0.9505211       0.9425774
306     0.9532001       0.9542629       0.9569525       0.9600491       0.9621671       0.962074        0.9585498       0.9502269       0.9412743
307     0.9539106       0.9549331       0.957518        0.9604817       0.9624686       0.9622509       0.9585727       0.9499198       0.9399268
308     0.9545881       0.9555722       0.9580572       0.9608937       0.9627547       0.9624164       0.9585874       0.9496069       0.9385436
309     0.9552355       0.9561829       0.9585724       0.9612871       0.9630269       0.9625719       0.9585953       0.9492901       0.9371265
310     0.9558527       0.9567651       0.9590634       0.9616615       0.9632847       0.9627164       0.9585953       0.948968        0.9356746
311     0.956412        0.9572918       0.9595053       0.9619943       0.9635077       0.962831        0.9585692       0.9486256       0.9341967
312     0.9569471       0.9577957       0.9599278       0.962312        0.9637193       0.9629372       0.9585374       0.9482803       0.9326883
313     0.957459        0.9582778       0.9603318       0.9626152       0.96392         0.9630353       0.9585          0.9479323       0.9311503
314     0.9579488       0.958739        0.9607179       0.9629044       0.96411         0.9631255       0.9584572       0.9475818       0.9295837
315     0.9584176       0.9591803       0.9610871       0.9631801       0.9642898       0.963208        0.958409        0.947229        0.9279896
316     0.9588661       0.9596024       0.96144         0.9634428       0.9644597       0.963283        0.9583557       0.9468741       0.9263699
317     0.9592953       0.9600062       0.9617772       0.9636931       0.96462         0.9633506       0.9582973       0.9465174       0.9247264
318     0.9597083       0.9603948       0.9621014       0.9639333       0.9647728       0.9634131       0.958236        0.9461618       0.9230642
319     0.9601261       0.9607886       0.9624323       0.9641818       0.9649359       0.9634883       0.9581916       0.9458315       0.921415
320     0.960526        0.9611655       0.9627485       0.9644186       0.9650897       0.9635563       0.9581423       0.9455001       0.9197498
321     0.9609125       0.96153         0.9630549       0.9646486       0.96524         0.963624        0.9580974       0.9451844       0.9181194
322     0.9612829       0.9618792       0.963348        0.9648679       0.9653819       0.9636852       0.9580479       0.9448684       0.9164801
323     0.9616373       0.9622131       0.9636278       0.9650764       0.9655151       0.9637395       0.9579935       0.9445517       0.9148346
324     0.9619768       0.9625328       0.9638954       0.9652748       0.9656404       0.9637875       0.9579348       0.9442351       0.9131866
325     0.962302        0.962839        0.9641512       0.9654637       0.9657579       0.9638295       0.9578717       0.9439189       0.9115396
326     0.9626115       0.9631302       0.9643937       0.9656416       0.9658667       0.9638645       0.9578038       0.9436032       0.9099014
327     0.9628926       0.9633938       0.9646109       0.9657966       0.9659546       0.9638794       0.9577156       0.9432675       0.9082427
328     0.9631556       0.96364         0.9648123       0.9659378       0.9660304       0.9638833       0.9576173       0.9429246       0.9065846
329     0.963407        0.9638751       0.965004        0.966071        0.9660996       0.963882        0.9575152       0.942583        0.9049425
330     0.9636472       0.9640996       0.9651863       0.9661964       0.9661625       0.9638755       0.9574095       0.9422427       0.9033209
331     0.9638789       0.964316        0.9653621       0.9663172       0.9662226       0.9638681       0.957306        0.9419144       0.901759
332     0.9640943       0.9645167       0.9655236       0.9664253       0.9662714       0.9638501       0.9571927       0.9415795       0.9002144
333     0.9642999       0.9647081       0.9656768       0.9665264       0.9663144       0.9638275       0.9570761       0.9412467       0.8987033
334     0.9644961       0.9648905       0.9658221       0.9666209       0.9663519       0.9638004       0.9569564       0.9409162       0.8972301
335     0.9646832       0.9650642       0.9659596       0.9667088       0.966384        0.9637687       0.9568335       0.9405881       0.8957994
