# Command line :  -h --dslen 19.2 1.0 13.2 0 0 16.0 1.2 1.2416 6.3 6.9 6.9 6.2 6.3 6.4 6.9 6.9 6.6 6.6
# Parameters for plot_mirrors: -h --dslen 19.200000 1.0 13.2 0 0 16.0 1.2 1.2416 6.3 6.9 6.9 6.2 6.3 6.4 6.9 6.9 6.6 6.6
# Total projected area: 106.3 m**2 for f = 16.0 m
# Total mirror surface area: 107.2 m**2
# Rmax = 6.90 m (Dmax = 13.80 m for symmetric dish)
# Mean radius of outer edge is 4.90 m (Dmean = 9.81 m)
# Mean sqrt(radius^2) of outer edge is 4.97 m (Dmean2 = 9.95 m)
# Average distance of mirrors to focus: 16.10 m (DC, R=19.20 m)
#
# Column 1: X pos. [cm] (North/Down)
# Column 2: Y pos. [cm] (West/Right from camera)
# Column 3: flat-to-flat diameter [cm]
# Column 4: focal length [cm], typically zero = adapting in sim_telarray.
# Column 5: shape type: 0=circular, 1=hex. with flat side parallel to y, 2=square, 3=other hex. (default: 0)
# Column 6: Z pos (height above dish backplane) [cm], typ. omitted (or zero) to adapt to dish shape settings.
#   #% separator keeping further data as comments.
#   7: mirror number in original list (not used)
#
# Using 86 hexagonal mirrors inside a radius of 6.90 m (mirror centers inside 6.21 m)
# ids are assigned for consistency (not actual ids)
  248.32  -215.05   120.00     0.00 1    0.0    #%    id=70
  310.40  -107.53   120.00     0.00 1    0.0    #%    id=71
  372.48     0.00   120.00     0.00 1    0.0    #%    id=72
  434.56   107.53   120.00     0.00 1    0.0    #%    id=73
  496.64   215.05   120.00     0.00 1    0.0    #%    id=74
  186.24  -537.63   120.00     0.00 1    0.0    #%    id=75
  248.32  -430.10   120.00     0.00 1    0.0    #%    id=76
  310.40  -322.58   120.00     0.00 1    0.0    #%    id=77
  372.48  -215.05   120.00     0.00 1    0.0    #%    id=78
  434.56  -107.53   120.00     0.00 1    0.0    #%    id=79
  496.64     0.00   120.00     0.00 1    0.0    #%    id=80
  558.72   107.53   120.00     0.00 1    0.0    #%    id=81
  372.48  -430.10   120.00     0.00 1    0.0    #%    id=82
  434.56  -322.58   120.00     0.00 1    0.0    #%    id=83
  496.64  -215.05   120.00     0.00 1    0.0    #%    id=84
  558.72  -107.53   120.00     0.00 1    0.0    #%    id=85
  620.80     0.00   120.00     0.00 1    0.0    #%    id=86
