# LST mirror reflectivity curve, from Koji Noda, 2018-03-15.
# Sorted in ascending order (KB), scaled from percentage to absolute numbers.
# wavelength[nm]	reflectivity[%]	1sigma[%]	
296.5	 0.873529 2.11874
297	 0.874906 2.08691
297.5	 0.876319 2.0608
298	 0.877637 2.02717
298.5	 0.879082 1.99825
299	 0.880176 1.96186
299.5	  0.88142 1.93298
300	 0.882677 1.91028
300.5	 0.883925 1.88533
301	 0.885353 1.86226
301.5	  0.88667 1.83765
302	 0.887901 1.80955
302.5	 0.889073 1.79435
303	 0.890395 1.76551
303.5	 0.891468 1.74412
304	 0.892354 1.71576
304.5	  0.89341 1.69321
305	 0.894234 1.67102
305.5	 0.894991 1.64935
306	 0.896004 1.6328
306.5	 0.896951 1.61632
307	 0.897919 1.59498
307.5	 0.898882 1.57222
308	 0.900029 1.54861
308.5	 0.901166 1.53109
309	 0.902321 1.51388
309.5	 0.903543 1.49314
310	 0.904504 1.47669
310.5	  0.90537 1.46268
311	 0.906094 1.44588
311.5	  0.90681 1.43578
312	 0.907702 1.42012
312.5	 0.908268 1.4005
313	 0.909344 1.38142
313.5	 0.910109 1.37175
314	 0.910614 1.36127
314.5	 0.911563 1.34879
315	 0.912391 1.33153
315.5	 0.913332 1.31879
316	 0.913754 1.30517
316.5	 0.914611 1.29659
317	  0.91567 1.28337
317.5	 0.916416 1.26931
318	 0.917335 1.25675
318.5	 0.918124 1.25142
319	 0.918887 1.24396
319.5	 0.919645 1.23503
320	 0.920004 1.22341
320.5	 0.920542 1.21285
321	 0.920962 1.20503
321.5	 0.921404 1.19551
322	 0.922196 1.1921
322.5	 0.922854 1.17898
323	 0.923629 1.17005
323.5	 0.924461 1.16704
324	 0.925363 1.16178
324.5	 0.925985 1.15285
325	 0.926045 1.13811
325.5	 0.926688 1.1298
326	 0.927221 1.12702
326.5	   0.9278 1.12153
327	 0.928099 1.11754
327.5	 0.928804 1.11011
328	 0.929437 1.10793
328.5	 0.929993 1.10122
329	 0.930379 1.09352
329.5	 0.931007 1.08842
330	 0.931427 1.07647
330.5	 0.931946 1.07201
331	 0.932412 1.06802
331.5	 0.933127 1.06551
332	 0.933923 1.0621
332.5	 0.934505 1.05813
333	   0.9351 1.05853
333.5	 0.935379 1.05315
334	 0.935656 1.04808
334.5	 0.935762 1.04891
335	 0.935815 1.0475
335.5	 0.936265 1.04787
336	 0.936652 1.04636
336.5	 0.936997 1.04007
337	 0.937389 1.04254
337.5	 0.937874 1.04057
338	 0.938241 1.03491
338.5	 0.938839 1.03406
339	 0.938912 1.02584
339.5	 0.939602 1.02671
340	 0.926461 1.02301
340.5	 0.940079 0.918991
341	 0.941065 0.922997
341.5	 0.941299 0.927363
342	 0.941574 0.928724
342.5	 0.941888 0.936998
343	 0.942434 0.946514
343.5	 0.942936 0.945728
344	 0.943177 0.943315
344.5	 0.943279 0.936149
345	 0.943652 0.945382
345.5	 0.943437 0.944622
346	 0.943785 0.944278
346.5	 0.943716 0.940687
347	 0.944202 0.936832
347.5	 0.944545 0.93725
348	 0.944976 0.931929
348.5	 0.945131 0.925374
349	 0.946154 0.924472
349.5	 0.946398 0.924671
350	 0.946423 0.926099
350.5	  0.94657 0.916344
351	 0.947009 0.907784
351.5	 0.947715 0.902626
352	 0.947925 0.902832
352.5	 0.947748 0.902499
353	  0.94803 0.886591
353.5	 0.948704 0.895888
354	 0.949163 0.907964
354.5	 0.948862 0.918091
355	 0.948778 0.921374
355.5	 0.949373 0.927101
356	 0.949727 0.925159
356.5	 0.949934 0.917444
357	 0.949349 0.915985
357.5	 0.949639 0.90346
358	 0.949454 0.892606
358.5	 0.949334 0.885841
359	  0.94988 0.885186
359.5	 0.950531 0.888426
360	 0.950445 0.886917
360.5	 0.950746 0.886382
361	 0.950957 0.894217
361.5	 0.951692 0.903855
362	 0.951817 0.901978
362.5	 0.951604 0.899126
363	  0.95203 0.911152
363.5	 0.952299 0.910391
364	 0.952845 0.911237
364.5	 0.952369 0.908287
365	 0.952416 0.908053
365.5	 0.952332 0.915598
366	 0.952575 0.90772
366.5	 0.952538 0.905811
367	  0.95214 0.903479
367.5	 0.952606 0.905884
368	 0.952816 0.900367
368.5	 0.953353 0.904218
369	 0.953299 0.904795
369.5	 0.953895 0.900321
370	 0.954245 0.907995
370.5	 0.951128 0.915286
371	  0.95115 0.915482
371.5	 0.951038 0.916895
372	   0.9509 0.916367
372.5	 0.950769 0.919405
373	 0.950874 0.916726
373.5	  0.95103 0.918101
374	 0.951017 0.91976
374.5	  0.95136 0.921627
375	 0.951534 0.924077
375.5	 0.951802 0.922986
376	 0.952024 0.925043
376.5	 0.951859 0.92346
377	 0.951945 0.925056
377.5	 0.951957 0.924086
378	 0.951991 0.926303
378.5	 0.951888 0.922653
379	 0.951735 0.920485
379.5	  0.95215 0.920056
380	 0.952365 0.92007
380.5	 0.952451 0.922427
381	 0.952758 0.922098
381.5	 0.952982 0.9201
382	  0.95325 0.920797
382.5	 0.953072 0.91737
383	  0.95314 0.919206
383.5	 0.953172 0.917545
384	 0.953155 0.919456
384.5	 0.953015 0.919988
385	 0.953219 0.922352
385.5	 0.953309 0.929581
386	 0.953274 0.93104
386.5	 0.953469 0.932906
387	 0.953724 0.934562
387.5	 0.953708 0.937184
388	 0.953818 0.932639
388.5	 0.953843 0.926093
